PV,Hydropower
0.0085217,-0.355018518
0.0085217,-0.365598609
0.030739,-0.429079155
0.030739,-0.481979611
0.030739,-0.429079155
0.030739,-0.67242125
0.052261,-0.714741614
0.052261,-0.693581432
0.052261,-0.661841159
0.052261,-0.725321705
0.068391,-0.355018518
0.068391,-0.556040248
0.068391,-0.418499064
0.068391,-0.333858336
0.077565,-0.407918973
0.077565,-0.333858336
0.077565,-0.27037779
0.077565,-0.048195878
0.070478,-0.619520794
0.070478,-0.714741614
0.070478,-0.640680976
0.070478,-0.725321705
0.045435,-0.640680976
0.045435,-0.439659246
0.045435,-0.450239338
0.045435,-0.651261067
0.019348,-0.714741614
0.019348,-0.651261067
0.019348,-0.640680976
0.019348,-0.280957881
0.00018261,-0.027035696
0.00018261,-0.27037779
0.00018261,-0.333858336
